"","POLY_ID","MEDHVAL","PCTBACHMOR","MEDHHINC","PCTVACANT","PCTSINGLES","cluster"
"119",119,63100,32.613,49444,5.8496,2.2284,1
"120",120,49300,13.7155,19467,8.7894,3.4826,1
"121",121,40700,12.1658,28583,20.813,5.6911,1
"122",122,37000,10.5053,16310,15.5819,12.6233,1
"123",123,44700,1.5221,16027,9.8522,10.5911,1
"124",124,64400,8.6902,28352,9.3361,2.0747,1
"125",125,61500,10.3586,24875,9.2157,7.2549,1
"126",126,53800,7.3418,20167,8.7452,8.7452,1
"127",127,48900,3.8737,23656,7.6923,12.8205,1
"128",128,53300,14.7727,21364,5.1546,5.6701,1
"129",129,52800,15.4574,17619,5.8296,0,1
"130",130,47500,22.108,24250,16.2455,4.3321,1
"131",131,63600,8.6614,35125,13.0208,0,1
"132",132,65800,19.1646,37639,7.2874,0,1
"133",133,67800,39.7174,28125,8.8517,2.3923,1
"134",134,69800,38.3268,30850,6.25,9.6875,1
"135",135,57200,18.2796,27736,6.7568,2.7027,1
"136",136,23600,10.6115,17125,16.5116,9.3023,1
"137",137,38900,5.6582,29500,18.4746,11.8644,1
"138",138,46300,13.8843,19688,11.5625,3.125,1
"139",139,33800,12.26,19327,11.6162,18.9394,1
"140",140,35100,6.5854,18750,9.4923,5.5188,1
"141",141,41300,1.9342,11750,9.375,5.7292,1
"142",142,37800,1.4151,32273,24.2667,6.4,1
"143",143,25200,6.9583,15875,19.1257,14.7541,1
"144",144,24700,0,17135,32.8244,12.9771,1
"145",145,35700,0,18977,12.5,5.6452,1
"146",146,36700,9.1623,18125,16.9435,13.9535,1
"147",147,28100,4.0984,18750,17.3729,2.1186,1
"148",148,30300,8.2148,15341,14.128,3.3113,1
"149",149,30600,3.5573,19471,28.0488,10.2439,1
"150",150,18300,0,14274,30.8901,0,1
"151",151,18000,3.2787,19773,24.2105,4.2105,1
"152",152,24000,3.4188,16300,21.4932,13.3484,1
"153",153,37500,6.3158,16016,16.9884,10.0386,1
"154",154,33800,0,11958,18.8776,0,1
"155",155,31400,1.2868,35625,10.1449,12.1739,1
"156",156,18800,5.868,24609,16.7883,7.2993,1
"157",157,31900,1.9608,17378,17.6781,11.6095,1
"158",158,23600,8.8542,33125,10.596,20.5298,1
"159",159,10600,24.5614,8516,0,42.8571,1
"160",160,18900,0,33224,28.8973,3.8023,1
"161",161,16200,0,20893,28.1081,2.973,1
"162",162,31500,4.0043,24848,9.8315,3.5112,1
"163",163,28800,10.9774,31713,10.3226,12.2581,1
"164",164,27800,4.685,19352,8.4158,1.9802,1
"165",165,25700,5.1429,20089,5,0,1
"166",166,19800,6.0847,32656,14.6179,3.9867,1
"167",167,13500,0,29821,28.7879,0,1
"168",168,20400,0,19702,21.0191,3.1847,1
"169",169,22500,6.9444,24722,25.6098,8.5366,1
"170",170,19900,0,23750,11.2745,10.7843,1
"171",171,37100,4.7101,19063,31.5574,9.4262,1
"172",172,12600,4.158,6822,38.9928,4.3165,1
"173",173,55700,1.3008,7183,29.1246,7.7441,1
"174",174,41500,0,7301,14.3041,6.3144,1
"175",175,53700,27.3523,43512,1.6949,0,1
"176",176,52300,0,36705,3.7383,4.6729,1
"177",177,60200,19.8276,31786,3.7736,0,1
"178",178,44400,6.2176,22404,13.2841,0,1
"179",179,34700,5.4517,27625,5.3476,2.139,1
"180",180,36400,1.2048,28046,11.7268,5.2835,1
"181",181,34000,7.5359,26071,15.27,6.3315,1
"182",182,40100,1.5203,23150,17.0561,3.7383,1
"183",183,51700,6.2069,27361,5.1786,1.6071,1
"184",184,41600,3.2258,23125,6.0656,8.3607,1
"185",185,40700,11.7773,31010,4.9057,3.3962,1
"186",186,55600,8.0119,35096,5.2752,5.7339,1
"187",187,75300,20.5706,42692,3.5264,7.3048,1
"188",188,86700,10.6996,26513,2.9221,5.8442,1
"189",189,137500,27.3973,68750,0,0,2
"190",190,113400,37.7119,50096,0,0,2
"191",191,76400,18.2679,50341,5.3864,6.3232,1
"192",192,54900,10.1019,20427,11.0644,7.7031,1
"193",193,59400,5.4217,31500,7.2674,3.343,1
"194",194,60900,24.5913,31296,5.1282,4.0293,1
"195",195,40300,11.9122,18859,9.2086,2.8777,1
"196",196,67100,9.5193,33594,8.2119,4.9007,1
"197",197,73100,8.8623,36442,5.0209,3.3473,1
"198",198,83800,15.8022,54276,6.1602,1.4374,1
"199",199,83400,7.9292,36201,4.2627,4.3779,1
"200",200,59600,15.304,25104,11.1298,9.4435,1
"201",201,53100,9.2968,26184,7.5125,0,1
"202",202,65500,4.4,25000,5.5866,10.8939,1
"203",203,64200,10.6928,29405,13.4216,7.3724,1
"204",204,58700,9.9899,37786,4.8387,2.4194,1
"205",205,69200,4.2591,26000,5.6213,4.8817,1
"206",206,67500,11.7105,27404,7.8212,6.1453,1
"207",207,63000,13.3504,29219,3.4908,2.0534,1
"208",208,20300,3.7081,13397,23.8245,12.5392,1
"209",209,20800,6.6474,20638,20.3252,10.7724,1
"210",210,40600,7.3059,27025,10.7988,7.3964,1
"211",211,44900,2.4,20286,19.1265,2.1084,1
"212",212,26800,4.3165,20504,15.3186,11.5196,1
"213",213,42200,4.5564,23800,12.167,8.0817,1
"214",214,54200,1.061,23826,3.2751,0,1
"215",215,53800,3.0075,25893,9.5159,7.1786,1
"216",216,57500,3.5363,38403,0,0,1
"217",217,61600,9.1904,30565,9.7633,0,1
"218",218,52900,8.6124,32240,10.2535,7.6037,1
"219",219,63100,5.3704,31786,13.3663,7.797,1
"220",220,58200,12.7193,36087,9.1379,1.5517,1
"221",221,52600,3.7946,36346,8.5586,3.6036,1
"222",222,49100,1.2061,31453,9.1912,1.4706,1
"223",223,60200,10.6419,35104,2.7933,1.676,1
"224",224,48200,0,35114,14.7368,45.2632,1
"225",225,52100,4.6693,26607,7.1633,5.7307,1
"226",226,69200,10.7558,37206,7.8261,3.4783,1
"227",227,72100,6.6372,45197,2.5126,1.7588,1
"228",228,109500,9.1324,36042,7.2464,9.4203,1
"229",229,85200,9.8976,28229,3.2641,10.6825,1
"230",230,80700,3.9526,33350,0.627,9.7179,1
"231",231,122700,16.5039,45500,1.0791,2.518,1
"232",232,136600,18.1087,43029,49.0122,2.54,1
"233",233,132900,15.5294,30455,2.6087,0,1
"234",234,17500,26.7699,28417,27.9762,0,1
"235",235,98300,27.1777,40577,17.6552,12.6897,1
"236",236,75200,20.4242,46250,3.1016,1.6043,1
"237",237,69800,7.7922,40787,6.1176,23.7647,1
"238",238,83700,21.317,31944,6.2016,4.2636,1
"239",239,81700,3.9474,25781,0,7.4074,1
"240",240,81100,16.0377,28352,0,0,1
"241",241,68100,7.6677,13750,0,6.015,1
"242",242,59200,7.5552,30793,4.0354,4.9213,1
"243",243,43900,6.5041,42917,6.7669,4.8872,1
"244",244,47200,18.8953,22500,10.0806,4.4355,1
"245",245,42600,19.3333,24844,16.1137,5.2133,1
"246",246,40200,1.8595,25930,9.8639,6.4626,1
"247",247,96100,13.4041,38472,3.1301,1.318,1
"248",248,61000,6.5217,34338,3.9241,6.2025,1
"249",249,50300,3.794,32284,3.6946,6.8966,1
"250",250,45500,9.2593,30096,7.989,6.3361,1
"251",251,44800,8.7398,35278,8.7719,4.0936,1
"252",252,44100,10.8384,28819,7.0796,0,1
"253",253,45700,7.7951,28889,10.5556,5,1
"254",254,37100,1.3793,12750,9.4059,9.4059,1
"255",255,36700,4.0476,20625,14.1935,4.8387,1
"256",256,36000,3.2787,23313,12.1495,2.8037,1
"257",257,35700,7.907,33824,12,18.3333,1
"258",258,46800,3.0303,24306,27.3196,7.732,1
"259",259,32500,10.929,12266,14.486,11.215,1
"260",260,38600,5.137,19118,23.3503,17.2589,1
"261",261,36900,14.0523,29219,14.4737,5.9211,1
"262",262,37400,10.231,32708,10,20.5,1
"263",263,32900,4.0201,15568,12.9032,3.2258,1
"264",264,38500,5.2,24722,14.7541,6.5574,1
"265",265,40900,4.902,24306,3.5242,13.6564,1
"266",266,49700,11.592,30378,9.0909,1.5521,1
"267",267,28900,4.2553,31750,18.5039,15.3543,1
"268",268,28900,6.0847,16688,15.7191,6.0201,1
"269",269,43800,11.7002,24609,15.9494,6.0759,1
"270",270,38200,5.9184,29659,16.0714,0,1
"271",271,38000,7.3477,35069,24.7475,6.0606,1
"272",272,43900,7.4074,43750,26.2673,19.8157,1
"273",273,44900,15.1822,26250,8.8068,2.5568,1
"274",274,34500,1.1958,8184,6.3966,13.4328,1
"275",275,28100,7.2626,33500,33.6601,4.5752,1
"276",276,38500,0,23813,12.7854,6.3927,1
"277",277,38800,0,31250,11.9792,8.3333,1
"278",278,32900,1.3308,21250,17.6039,10.7579,1
"279",279,44800,0,30625,7.9585,2.0761,1
"280",280,56000,12.2661,29464,3.0612,0,1
"281",281,39700,9.0226,30048,12.8205,13.1054,1
"282",282,32600,5.4502,23879,10.8992,0,1
"283",283,43000,6.5663,16373,10,3.6667,1
"284",284,39500,5.0209,17330,10.9244,0,1
"285",285,33700,8.7289,28902,11.7486,3.8251,1
"286",286,36900,2.0101,24605,17.2414,8.2759,1
"287",287,36300,1.4644,35739,13.3956,4.6729,1
"288",288,36600,1.6867,20298,0,2.0408,1
"289",289,29100,5.2133,24875,16.0804,0,1
"290",290,19300,0,21250,22.4066,2.9046,1
"291",291,35100,5.045,16354,26.1538,5.7143,1
"292",292,29900,0,27639,17.8082,1.3699,1
"293",293,30500,3.3175,28250,16.3743,8.1871,1
"294",294,25000,3.6782,18304,6.0606,6.3973,1
"295",295,41100,3.1558,19333,13.2867,6.2937,1
"296",296,34800,2.7311,31500,16.9951,0,1
"297",297,36100,0,23750,21.9697,11.8687,1
"298",298,33200,10.0225,36384,11.3636,8.4711,1
"299",299,41900,1.5444,26719,15,3.6111,1
"300",300,40300,2.381,16310,16.0494,3.7037,1
"301",301,34700,9.2308,29472,15.9184,9.3878,1
"302",302,39300,13.1455,28309,7,14.5,1
"303",303,41600,16.0164,28375,15.2542,4.8023,1
"304",304,42500,6.7797,44183,9.8101,2.8481,1
"305",305,37800,9.0909,27232,13.2159,11.4537,1
"306",306,40200,2.657,20648,25.8555,2.6616,1
"307",307,49900,7.2351,26750,10.1695,2.5424,1
"308",308,34600,10.8626,25417,12.2302,11.5108,1
"309",309,45700,6.5678,23382,14.0127,10.1911,1
"310",310,41300,7.483,30625,19.0058,7.3099,1
"311",311,41500,15.7801,30875,25.0729,3.4985,1
"312",312,31400,9.0164,22386,0,15.7534,1
"313",313,40700,2.2082,25417,30.1255,0,1
"314",314,35100,5.2632,9375,16.8919,4.0541,1
"315",315,28200,8.2687,27083,27.5325,2.0779,1
"316",316,29500,37.551,21591,20.8738,5.3398,1
"317",317,37500,0,46250,63.2184,0,1
"318",318,36500,0,9327,28.6765,8.0882,1
"319",319,29200,2.6804,16548,3.3613,2.9412,1
"320",320,27300,10.3604,20924,18.6047,6.4599,1
"321",321,29800,5.1546,15531,23.569,0,1
"322",322,31300,4.77,15950,11.437,5.8651,1
"323",323,56900,51.1777,12019,10.1719,0,1
"324",324,58800,20.354,17000,16.3866,7.563,1
"325",325,95900,36.5462,29808,14.7992,1.2685,1
"326",326,131300,26.9767,20400,0,3.5191,1
"327",327,80100,17.2061,33563,20.0483,9.9034,1
"328",328,122700,66.9983,39028,15.7371,4.9801,2
